ano,mes,data,plataforma,perfil,categoria,tipo_conteudo,seguidores,curtidas,comentarios,compartilhamentos,visualizacoes,alcance,taxa_engajamento,horario_publicacao
2015,1,2015-01-01,LinkedIn,EducaOnline,Entretenimento,Vídeo,608562,60519,4204,8462,46688,601986,3.31,08:00
2015,1,2015-01-01,TikTok,GamesBR,Tecnologia,Imagem,733755,77926,199,7096,1635721,1798994,7.68,08:00
2015,1,2015-01-01,LinkedIn,GamesBR,Educação,Stories,986048,48692,4437,2047,1799255,2354880,4.79,18:00
2015,1,2015-01-01,YouTube,ModaHoje,Games,Imagem,814782,49169,3738,1740,195735,2072736,3.26,12:00
2015,1,2015-01-01,Facebook,TechBrasil,Tecnologia,Live,270513,585,2480,7029,1096820,2457502,3.48,21:00
2015,1,2015-01-01,X,GamesBR,Educação,Carrossel,454371,19908,1616,1405,1273884,2468620,4.62,08:00
2015,1,2015-01-01,LinkedIn,EducaOnline,Tecnologia,Vídeo,630088,16843,1610,2150,785073,1294005,2.71,12:00
2015,1,2015-01-01,LinkedIn,GamesBR,Educação,Carrossel,514971,29055,599,7205,1473184,1503174,9.78,12:00
2015,1,2015-01-01,TikTok,TechBrasil,Games,Imagem,482804,55134,3800,7065,1944415,2078107,10.99,08:00
2015,1,2015-01-01,TikTok,ModaHoje,Educação,Live,439707,30433,3830,4746,1166288,1548904,2.81,21:00
2015,1,2015-01-01,Instagram,TechBrasil,Games,Carrossel,400342,16859,1611,8245,374683,314432,8.42,12:00
2015,1,2015-01-01,Facebook,EducaOnline,Entretenimento,Live,622362,75001,3833,7832,903665,266530,3.42,18:00
2015,1,2015-01-01,X,GamesBR,Tecnologia,Carrossel,845420,62477,2621,219,1929410,1893592,11.53,12:00
2015,1,2015-01-01,YouTube,ModaHoje,Tecnologia,Stories,107124,9495,866,5898,1331502,1846476,10.78,21:00
2015,1,2015-01-01,X,GamesBR,Entretenimento,Carrossel,496985,19422,1256,4155,1563482,616637,6.56,18:00
2015,1,2015-01-01,LinkedIn,TechBrasil,Tecnologia,Vídeo,897432,69390,536,6698,1470146,2348824,4.53,12:00
2015,1,2015-01-01,YouTube,GamesBR,Tecnologia,Live,722130,9039,907,2051,1062950,2138920,7.99,18:00
